id,date,prcp,snow,snwd,tavg,tmax,tmin
USW00013743,2016-01-01,0,0,0,67,83,22
USW00013743,2016-01-02,0,0,0,42,89,0
USW00013743,2016-01-03,0,0,0,49,122,0
USW00013743,2016-01-04,0,0,0,20,33,-60
USW00013743,2016-01-05,0,0,0,-43,11,-88
USW00013743,2016-01-06,0,0,0,-17,44,-66
USW00013743,2016-01-07,0,0,0,33,61,11
USW00013743,2016-01-08,0,0,0,51,72,44
USW00013743,2016-01-09,58,0,0,69,100,50
USW00013743,2016-01-10,142,0,0,125,167,28
USW00013743,2016-01-11,0,0,0,23,50,-21
USW00013743,2016-01-12,0,0,0,21,83,-21
USW00013743,2016-01-13,0,0,0,-20,0,-60
USW00013743,2016-01-14,0,0,0,17,117,-21
USW00013743,2016-01-15,81,0,0,59,100,11
USW00013743,2016-01-16,3,0,0,71,117,33
USW00013743,2016-01-17,13,8,0,29,33,0
USW00013743,2016-01-18,0,0,0,-31,11,-88
USW00013743,2016-01-19,0,0,0,-69,-21,-93
USW00013743,2016-01-20,8,18,0,-45,-5,-71
USW00013743,2016-01-21,0,0,0,-23,11,-43
USW00013743,2016-01-22,130,165,0,-33,-16,-55
USW00013743,2016-01-23,246,287,360,-37,-16,-43
USW00013743,2016-01-24,0,0,460,-21,17,-71
USW00013743,2016-01-25,0,0,430,-29,56,-88
USW00013743,2016-01-26,0,0,250,41,111,-10
USW00013743,2016-01-27,0,0,100,57,89,-5
USW00013743,2016-01-28,0,0,100,4,44,-38
USW00013743,2016-01-29,0,0,80,24,61,-21
USW00013743,2016-01-30,0,0,80,8,56,-43
USW00013743,2016-01-31,0,0,80,62,139,22
USW00013743,2016-02-01,30,0,0,100,161,61
USW00013743,2016-02-02,0,0,0,67,117,22
USW00013743,2016-02-03,127,0,0,74,139,50
USW00013743,2016-02-04,5,0,0,112,144,56
USW00013743,2016-02-05,10,0,0,48,67,6
USW00013743,2016-02-06,0,0,0,22,67,-21
USW00013743,2016-02-07,0,0,0,31,78,-10
USW00013743,2016-02-08,3,0,0,48,78,11
USW00013743,2016-02-09,56,0,0,33,44,0
USW00013743,2016-02-10,0,0,0,9,39,-32
USW00013743,2016-02-11,0,0,0,-33,-10,-60
USW00013743,2016-02-12,0,0,0,-43,-5,-71
USW00013743,2016-02-13,0,3,0,-43,-21,-93
USW00013743,2016-02-14,3,5,0,-78,-32,-105
USW00013743,2016-02-15,119,71,50,-46,-5,-66
USW00013743,2016-02-16,175,0,50,45,117,-10
USW00013743,2016-02-17,0,0,0,48,94,-5
USW00013743,2016-02-18,0,0,0,26,44,-10
USW00013743,2016-02-19,0,0,0,5,56,-32
USW00013743,2016-02-20,0,0,0,82,183,44
USW00013743,2016-02-21,23,0,0,104,139,72
USW00013743,2016-02-22,0,0,0,88,117,50
USW00013743,2016-02-23,132,0,0,63,72,44
USW00013743,2016-02-24,279,0,0,88,183,56
USW00013743,2016-02-25,0,0,0,109,156,44
USW00013743,2016-02-26,0,0,0,38,44,-5
USW00013743,2016-02-27,0,0,0,22,83,-27
USW00013743,2016-02-28,0,0,0,73,183,6
USW00013743,2016-02-29,0,0,0,141,183,67
USW00013743,2016-03-01,0,0,0,112,183,44
USW00013743,2016-03-02,25,0,0,91,156,-5
USW00013743,2016-03-03,5,0,0,14,50,-16
USW00013743,2016-03-04,13,8,0,22,56,0
USW00013743,2016-03-05,0,0,0,40,72,17
USW00013743,2016-03-06,0,0,0,54,111,28
USW00013743,2016-03-07,0,0,0,83,189,22
USW00013743,2016-03-08,0,0,0,149,261,78
USW00013743,2016-03-09,0,0,0,163,261,83
USW00013743,2016-03-10,0,0,0,187,261,139
USW00013743,2016-03-11,0,0,0,202,228,139
USW00013743,2016-03-12,0,0,0,136,156,100
USW00013743,2016-03-13,66,0,0,129,156,94
USW00013743,2016-03-14,48,0,0,103,117,83
USW00013743,2016-03-15,8,0,0,109,183,83
USW00013743,2016-03-16,3,0,0,154,233,94
USW00013743,2016-03-17,0,0,0,148,206,94
USW00013743,2016-03-18,0,0,0,146,194,89
USW00013743,2016-03-19,33,0,0,90,139,33
USW00013743,2016-03-20,0,0,0,44,67,28
USW00013743,2016-03-21,0,0,0,61,117,28
USW00013743,2016-03-22,0,0,0,83,167,17
USW00013743,2016-03-23,0,0,0,159,239,117
USW00013743,2016-03-24,0,0,0,173,250,100
USW00013743,2016-03-25,8,0,0,191,222,94
USW00013743,2016-03-26,0,0,0,104,167,50
USW00013743,2016-03-27,5,0,0,118,139,89
USW00013743,2016-03-28,81,0,0,127,211,94
USW00013743,2016-03-29,0,0,0,123,156,78
USW00013743,2016-03-30,0,0,0,109,172,50
USW00013743,2016-03-31,0,0,0,164,233,122
USW00013743,2016-04-01,13,0,0,216,283,178
USW00013743,2016-04-02,25,0,0,161,189,72
USW00013743,2016-04-03,0,0,0,78,122,28
USW00013743,2016-04-04,18,0,0,138,233,39
USW00013743,2016-04-05,0,0,0,50,78,-10
USW00013743,2016-04-06,0,0,0,65,139,0
USW00013743,2016-04-07,178,0,0,130,183,89
USW00013743,2016-04-08,0,0,0,92,122,61
USW00013743,2016-04-09,43,0,0,68,100,11
USW00013743,2016-04-10,0,0,0,42,111,-5
USW00013743,2016-04-11,3,0,0,128,228,83
