id,date,prcp,snow,snwd,tavg,tmax,tmin
USW00013743,2015-01-01,0,0,0,17,83,-27
USW00013743,2015-01-02,0,0,0,53,94,17
USW00013743,2015-01-03,127,0,0,40,56,11
USW00013743,2015-01-04,51,0,0,98,194,56
USW00013743,2015-01-05,0,0,0,78,111,-16
USW00013743,2015-01-06,51,61,30,-19,0,-43
USW00013743,2015-01-07,0,0,50,-30,-10,-93
USW00013743,2015-01-08,0,0,50,-82,-32,-110
USW00013743,2015-01-09,0,0,30,-6,56,-32
USW00013743,2015-01-10,0,0,0,-32,-10,-71
USW00013743,2015-01-11,0,0,0,-17,61,-60
USW00013743,2015-01-12,191,0,0,29,61,17
USW00013743,2015-01-13,0,0,0,31,56,-16
USW00013743,2015-01-14,0,5,0,-12,6,-32
USW00013743,2015-01-15,0,0,0,15,56,0
USW00013743,2015-01-16,0,0,0,27,89,-27
USW00013743,2015-01-17,0,0,0,15,44,-21
USW00013743,2015-01-18,152,0,0,32,72,11
USW00013743,2015-01-19,0,0,0,66,100,6
USW00013743,2015-01-20,0,0,0,37,100,-5
USW00013743,2015-01-21,20,10,0,27,39,11
USW00013743,2015-01-22,0,0,0,43,94,22
USW00013743,2015-01-23,165,0,0,34,61,-5
USW00013743,2015-01-24,122,0,0,38,72,28
USW00013743,2015-01-25,0,0,0,64,111,22
USW00013743,2015-01-26,53,13,0,46,78,-16
USW00013743,2015-01-27,3,3,30,2,28,-10
USW00013743,2015-01-28,0,0,0,-6,39,-43
USW00013743,2015-01-29,13,0,0,1,44,-32
USW00013743,2015-01-30,0,0,0,40,61,-49
USW00013743,2015-01-31,0,0,0,-29,22,-66
USW00013743,2015-02-01,10,0,0,8,67,-27
USW00013743,2015-02-02,23,0,0,46,100,-27
USW00013743,2015-02-03,0,0,0,-14,39,-38
USW00013743,2015-02-04,0,0,0,29,128,-16
USW00013743,2015-02-05,0,0,0,37,67,-60
USW00013743,2015-02-06,0,0,0,-36,33,-82
USW00013743,2015-02-07,0,0,0,23,100,-32
USW00013743,2015-02-08,0,0,0,69,200,17
USW00013743,2015-02-09,18,0,0,53,72,11
USW00013743,2015-02-10,5,0,0,20,44,6
USW00013743,2015-02-11,0,0,0,24,83,-16
USW00013743,2015-02-12,0,0,0,29,67,-66
USW00013743,2015-02-13,0,0,0,-51,-10,-93
USW00013743,2015-02-14,0,3,0,-7,72,-77
USW00013743,2015-02-15,0,0,0,-73,-55,-116
USW00013743,2015-02-16,74,74,0,-98,-66,-121
USW00013743,2015-02-17,58,46,130,-63,-5,-82
USW00013743,2015-02-18,0,3,100,-42,11,-105
USW00013743,2015-02-19,0,3,100,-70,-60,-116
USW00013743,2015-02-20,0,0,80,-106,-55,-149
USW00013743,2015-02-21,178,66,80,-68,17,-99
USW00013743,2015-02-22,25,0,100,37,100,17
USW00013743,2015-02-23,0,0,30,21,50,-71
USW00013743,2015-02-24,0,0,0,-58,-10,-99
USW00013743,2015-02-25,0,0,0,-14,56,-60
USW00013743,2015-02-26,36,56,30,19,39,-5
USW00013743,2015-02-27,0,0,0,7,17,-38
USW00013743,2015-02-28,0,0,0,-32,6,-66
USW00013743,2015-03-01,130,3,0,-19,11,-43
USW00013743,2015-03-02,0,0,0,32,78,6
USW00013743,2015-03-03,10,0,0,10,50,-5
USW00013743,2015-03-04,86,0,0,57,106,39
USW00013743,2015-03-05,221,122,0,35,72,-49
USW00013743,2015-03-06,0,0,130,-49,-10,-93
USW00013743,2015-03-07,0,0,100,-12,94,-71
USW00013743,2015-03-08,0,0,30,79,150,0
USW00013743,2015-03-09,0,0,0,84,167,28
USW00013743,2015-03-10,112,0,0,77,100,39
USW00013743,2015-03-11,0,0,0,118,194,78
USW00013743,2015-03-12,0,0,0,113,156,61
USW00013743,2015-03-13,3,0,0,81,128,28
USW00013743,2015-03-14,152,0,0,97,156,72
USW00013743,2015-03-15,0,0,0,117,144,67
USW00013743,2015-03-16,0,0,0,98,206,33
USW00013743,2015-03-17,0,0,0,140,228,44
USW00013743,2015-03-18,0,0,0,66,117,22
USW00013743,2015-03-19,0,0,0,78,117,39
USW00013743,2015-03-20,124,0,0,47,78,22
USW00013743,2015-03-21,0,0,0,67,161,17
USW00013743,2015-03-22,0,0,0,108,133,72
USW00013743,2015-03-23,0,0,0,68,106,22
USW00013743,2015-03-24,0,0,0,60,83,28
USW00013743,2015-03-25,0,0,0,58,122,17
USW00013743,2015-03-26,89,0,0,139,250,94
USW00013743,2015-03-27,91,0,0,107,111,50
USW00013743,2015-03-28,0,0,0,37,56,-5
USW00013743,2015-03-29,0,0,0,21,94,-21
USW00013743,2015-03-30,5,0,0,104,189,56
USW00013743,2015-03-31,3,0,0,140,228,61
