"inspection_id","latitude","longitude"
1,38.909636,-77.047744
2,38.963665,-77.0749
3,38.963665,-77.0749
4,38.905549,-76.976949
5,38.914838,-77.024042
6,38.914838,-77.024042
7,38.869555,-77.01309
8,38.910629,-77.065419
9,38.861363,-76.969184
10,38.9344,-77.057895
11,38.9344,-77.057895
12,38.93437,-77.057881
13,38.901345,-77.038522
14,38.909359,-76.93231
15,38.909647,-77.006371
16,38.903738,-77.033076
17,38.960091,-77.085381
18,38.960091,-77.085381
19,38.909668,-77.064609
20,38.960091,-77.085381
21,38.960091,-77.085381
22,38.916996,-77.028082
23,38.916998,-77.033523
24,38.916998,-77.033523
25,38.916998,-77.033523
26,38.916998,-77.033523
27,38.934264,-77.057833
28,38.890541,-76.93248
29,38.899126,-76.97732
30,38.892447,-76.941786
31,38.896627,-76.958847
32,38.892447,-76.941786
33,38.920285,-76.999293
34,38.897422,-77.030256
35,38.902599,-77.045341
36,38.903059,-77.064579
37,38.90416,-77.036613
38,38.923341,-77.053613
39,38.907235,-77.015441
40,38.927898,-77.005251
41,38.929462,-77.003808
42,38.927898,-77.005251
43,38.927898,-77.005251
44,38.927898,-77.005251
45,38.860072,-76.996406
46,38.898754,-77.053105
47,38.900342,-77.056153
48,38.89925,-77.05413
49,38.898754,-77.053105
50,38.89925,-77.05413
51,38.898754,-77.053105
52,38.898754,-77.053105
53,38.900342,-77.056153
54,38.899855,-77.054937
55,38.898754,-77.053105
56,38.898754,-77.053105
57,38.900342,-77.056153
58,38.900342,-77.056153
59,38.898754,-77.053105
60,38.898754,-77.053105
61,38.898754,-77.053105
62,38.878405,-77.004859
63,38.869244,-77.000278
64,38.904618,-77.031874
65,38.877604,-77.004426
66,38.937314,-76.991896
67,38.910782,-77.009025
68,38.910782,-77.009025
69,38.915968,-77.021202
70,38.906706,-76.999431
71,38.910782,-77.009025
72,38.910782,-77.009025
73,38.910782,-77.009025
74,38.910782,-77.009025
75,38.910782,-77.009025
76,38.910782,-77.009025
77,38.910782,-77.009025
78,38.89734,-77.0199
79,38.89734,-77.0199
80,38.897213,-77.004813
81,38.897213,-77.004813
82,38.89734,-77.0199
83,38.897213,-77.004813
84,38.89734,-77.0199
85,38.89734,-77.0199
86,38.89734,-77.0199
87,38.897213,-77.004813
88,38.897213,-77.004813
89,38.897213,-77.004813
90,38.908518,-77.005885
91,38.908518,-77.005885
92,38.908518,-77.005885
93,38.903858,-76.992669
94,38.903858,-76.992669
95,38.903858,-76.992669
96,38.902565,-77.005812
97,38.902565,-77.005812
