inspection_id,latitude,longitude,census_block
199,38.900275,-76.989872,1020
200,38.906721,-77.000495,2000
201,38.906721,-77.000495,2000
202,38.906721,-77.000495,2000
203,38.900275,-76.989841,1020
204,38.900275,-76.989841,1020
205,38.900275,-76.989841,1020
206,38.900275,-76.989718,1020
207,38.900275,-76.989718,1020
208,38.900275,-76.989688,1020
209,38.900128,-77.002015,1002
210,38.900128,-77.002015,1002
211,38.900275,-76.989688,1020
212,38.900275,-76.989688,1020
213,38.900275,-76.989657,1020
214,38.900275,-76.989657,1020
215,38.919245,-76.98874,2006
216,38.919245,-76.988711,2006
217,38.899978,-77.030341,1009
218,38.899978,-77.030341,1009
219,38.900275,-76.989473,1020
220,38.907865,-76.999986,1024
221,38.907865,-76.999986,1024
222,38.906905,-76.979174,2017
223,38.906905,-76.979174,2017
224,38.906905,-76.979174,2017
225,38.906905,-76.979174,2017
226,38.906905,-76.979174,2017
227,38.906905,-76.979174,2017
228,38.906905,-76.979174,2017
229,38.906905,-76.979174,2017
230,38.906905,-76.979174,2017
231,38.906905,-76.979174,2017
232,38.900278,-76.998261,3006
233,38.900125,-76.989473,1003
234,38.900278,-76.998261,3006
235,38.900278,-76.998261,3006
236,38.900278,-76.998261,3006
237,38.900125,-76.989473,1003
238,38.900125,-76.989473,1003
239,38.900125,-76.989473,1003
240,38.900125,-76.989473,1003
241,38.900125,-76.989473,1003
242,38.900125,-76.989473,1003
243,38.900278,-76.997356,3006
244,38.900278,-76.997356,3006
245,38.900278,-76.997356,3006
246,38.900278,-76.997356,3006
247,38.907933,-76.999865,1024
248,38.907933,-76.999865,1024
249,38.907933,-76.999865,1024
250,38.908087,-76.999784,1024
251,38.908087,-76.999784,1024
252,38.908138,-76.999713,1024
253,38.908414,-76.999732,1025
254,38.908414,-76.999732,1025
255,38.906706,-76.999431,1030
256,38.888365,-76.983724,1002
257,38.888365,-76.983724,1002
258,38.888365,-76.983724,1002
259,38.907031,-77.003557,2004
260,38.907031,-77.003557,2004
261,38.907031,-77.003557,2004
262,38.907031,-77.003557,2004
263,38.907031,-77.003557,2004
264,38.909093,-76.999128,1024
265,38.909093,-76.999128,1024
266,38.908713,-76.998126,1027
267,38.908713,-76.998126,1027
268,38.908744,-76.998109,1027
269,38.908744,-76.998109,1027
270,38.908218,-76.982147,2002
271,38.907273000000004,-77.008932,2023
272,38.907273000000004,-77.008932,2023
273,38.908138,-76.999713,1024
274,38.908138,-76.999713,1024
275,38.908138,-76.999713,1024
276,38.908138,-76.999713,1024
277,38.908138,-76.999713,1024
278,38.908138,-76.999713,1024
279,38.908138,-76.999713,1024
280,38.908138,-76.999713,1024
281,38.908138,-76.999713,1024
282,38.908138,-76.999713,1024
283,38.908138,-76.999713,1024
284,38.908138,-76.999713,1024
285,38.907425,-76.998939,1024
286,38.899319,-77.018854,1015
287,38.899319,-77.018854,1015
288,38.899319,-77.018854,1015
289,38.908138,-76.999713,1024
290,38.908138,-76.999713,1024
291,38.907031,-77.003557,2004
292,38.908138,-76.999713,1024
293,38.908138,-76.999713,1024
294,38.908138,-76.999713,1024
295,38.908138,-76.999713,1024
296,38.908138,-76.999713,1024
297,38.908221,-76.99853,1024
298,38.908138,-76.999713,1024
299,38.908138,-76.999713,1024
300,38.908138,-76.999713,1024
301,38.905568,-77.005191,2021
302,38.905568,-77.005191,2021
303,38.905568,-77.005191,2021
304,38.900275,-76.988,1001
305,38.924285,-76.987155,1008
306,38.924285,-76.987155,1008
307,38.924285,-76.987155,1008
308,38.900275,-76.987867,1001
309,38.900275,-76.987867,1001
310,38.900275,-76.987867,1001
311,38.900275,-76.987867,1001
312,38.900275,-76.987867,1001
313,38.900275,-76.987867,1001
314,38.900275,-76.987867,1001
315,38.900275,-76.987867,1001
316,38.900275,-76.987867,1001
317,38.900275,-76.987867,1001
318,38.900275,-76.987867,1001
319,38.900275,-76.987867,1001
320,38.900275,-76.987867,1001
321,38.901567,-76.987411,1019
322,38.901567,-76.987411,1019
323,38.909397,-76.998877,1027
324,38.909397,-76.998877,1027
325,38.909397,-76.998877,1027
326,38.909397,-76.998877,1027
327,38.907753,-76.99994,1029
328,38.924396,-76.98688,1008
329,38.924396,-76.98688,1008
330,38.924396,-76.98688,1008
331,38.924396,-76.98688,1008
332,38.909115,-76.997907,1027
333,38.909115,-76.997907,1027
334,38.909115,-76.997907,1027
335,38.9002,-76.987402,1002
336,38.9002,-76.987402,1002
337,38.924284,-76.986417,2000
338,38.924284,-76.986417,2000
339,38.924284,-76.986417,2000
340,38.924284,-76.986417,2000
341,38.90981,-76.998756,1025
342,38.90981,-76.998756,1025
343,38.90981,-76.998756,1025
344,38.90981,-76.998756,1025
345,38.924786,-76.986318,1008
346,38.914291,-76.986137,1002
