,feature_id,feature_type,feature_subtype,year,week,census_tract_2010,value
138,population,,,2013,,11001009204,2930.0
139,population,,,2013,,11001009301,3509.0
140,population,,,2013,,11001009302,1092.0
141,population,,,2013,,11001009400,4295.0
142,population,,,2013,,11001009501,7006.0
143,population,,,2013,,11001009503,3257.0
144,population,,,2013,,11001009504,2847.0
145,population,,,2013,,11001009505,2708.0
146,population,,,2013,,11001009507,1546.0
147,population,,,2013,,11001009508,3630.0
148,population,,,2013,,11001009509,3293.0
149,population,,,2013,,11001009601,2521.0
150,population,,,2013,,11001009602,3182.0
151,population,,,2013,,11001009603,2735.0
152,population,,,2013,,11001009604,2041.0
153,population,,,2013,,11001009700,2931.0
154,population,,,2013,,11001009801,2099.0
155,population,,,2013,,11001009802,1203.0
156,population,,,2013,,11001009803,2683.0
157,population,,,2013,,11001009804,2615.0
158,population,,,2013,,11001009807,3102.0
159,population,,,2013,,11001009810,2106.0
160,population,,,2013,,11001009811,4820.0
161,population,,,2013,,11001009901,2279.0
162,population,,,2013,,11001009902,2960.0
163,population,,,2013,,11001009903,1515.0
164,population,,,2013,,11001009904,1773.0
165,population,,,2013,,11001009905,2498.0
166,population,,,2013,,11001009906,1213.0
167,population,,,2013,,11001009907,2773.0
168,population,,,2013,,11001010100,2443.0
169,population,,,2013,,11001010200,2576.0
170,population,,,2013,,11001010300,3162.0
171,population,,,2013,,11001010400,4178.0
172,population,,,2013,,11001010500,3660.0
173,population,,,2013,,11001010600,4651.0
174,population,,,2013,,11001010700,1814.0
175,population,,,2013,,11001010800,6615.0
176,population,,,2013,,11001010900,3949.0
177,population,,,2013,,11001011000,3381.0
178,population,,,2013,,11001011100,4702.0
179,population,,,2014,,11001000100,5184.0
180,population,,,2014,,11001000201,3844.0
181,population,,,2014,,11001000202,4551.0
182,population,,,2014,,11001000300,6079.0
183,population,,,2014,,11001000400,1527.0
184,population,,,2014,,11001000501,3361.0
185,population,,,2014,,11001000502,3107.0
186,population,,,2014,,11001000600,4537.0
187,population,,,2014,,11001000701,5236.0
188,population,,,2014,,11001000702,3384.0
189,population,,,2014,,11001000801,6738.0
190,population,,,2014,,11001000802,3077.0
191,population,,,2014,,11001000901,7771.0
192,population,,,2014,,11001000902,2334.0
193,population,,,2014,,11001001001,8036.0
194,population,,,2014,,11001001002,3516.0
195,population,,,2014,,11001001100,4443.0
196,population,,,2014,,11001001200,4880.0
197,population,,,2014,,11001001301,4158.0
198,population,,,2014,,11001001302,7796.0
199,population,,,2014,,11001001401,3333.0
200,population,,,2014,,11001001402,3092.0
201,population,,,2014,,11001001500,6216.0
202,population,,,2014,,11001001600,4124.0
203,population,,,2014,,11001001702,2975.0
204,population,,,2014,,11001001803,3930.0
205,population,,,2014,,11001001804,5576.0
206,population,,,2014,,11001001901,3801.0
207,population,,,2014,,11001001902,2245.0
208,population,,,2014,,11001002001,2640.0
209,population,,,2014,,11001002002,3869.0
210,population,,,2014,,11001002101,5713.0
211,population,,,2014,,11001002102,4968.0
212,population,,,2014,,11001002201,3736.0
213,population,,,2014,,11001002202,3965.0
214,population,,,2014,,11001002301,3261.0
215,population,,,2014,,11001002302,1841.0
216,population,,,2014,,11001002400,4282.0
217,population,,,2014,,11001002501,2748.0
218,population,,,2014,,11001002502,6079.0
219,population,,,2014,,11001002600,2533.0
220,population,,,2014,,11001002701,5481.0
221,population,,,2014,,11001002702,5855.0
